"order_id","price","product_name","quantity"
"5021","422.71","Laptop","3"
"9611","16.15","Headphones","2"
"1370","495.65","Charger","3"
"8579","213.66","Phone","3"
"2874","273.84","Phone","2"
"6919","220.85","Charger","2"
"1375","468.02","Tablet","3"
"3486","391.09","Laptop","4"
"8969","235.63","Laptop","5"
"1836","124.51","Tablet","2"
"8277","237.26","Charger","3"
"1671","44.57","Phone","1"
"325","349.75","Laptop","3"
"2522","425.59","Laptop","5"
"9171","126.63","Phone","5"
"4656","156.74","Phone","1"
"1524","429.89","Headphones","3"
"8283","106.16","Laptop","5"
"4344","211.5","Phone","1"
"8004","426.49","Laptop","3"
"7517","199.74","Tablet","3"
"9679","304.55","Tablet","2"
"2270","481.3","Charger","1"
"3929","448.14","Headphones","5"
"7353","213.78","Phone","5"
"765","463.77","Charger","2"
"3871","311.52","Headphones","4"
"5341","384.28","Charger","1"
"5109","121.65","Charger","5"
"6490","119.94","Phone","2"
"6543","407.94","Laptop","4"
"2785","146.23","Tablet","4"
"6892","243.09","Charger","4"
"4910","293.52","Headphones","3"
"7243","70.39","Headphones","1"
"2029","62.94","Tablet","2"
"352","169.55","Charger","1"
"4481","183.05","Tablet","3"
"3406","401.4","Headphones","4"
"7213","194.84","Tablet","1"
"9314","45.2","Tablet","2"
"5336","469.95","Tablet","2"
"3736","110.75","Phone","1"
"106","114.65","Laptop","1"
"1550","312.81","Phone","3"
"262","482.59","Laptop","1"
"1372","273.14","Laptop","3"
"3291","96.63","Phone","4"
"8940","317.83","Laptop","4"
"6631","286.87","Tablet","2"
